ID,subcategory,Indicator Name,Purpose,Why It Works,Implementation,Pseudocode
1,Momentum Oscillators,Relative Strength Index (RSI),Measure speed/magnitude of price changes,Overbought/oversold levels signal exhaustion,Fade RSI extremes in range-bound markets (ADX < 25),if RSI(14) > 70: signal = 'Short' elif RSI(14) < 30: signal = 'Buy'
2,Momentum Oscillators,Stochastic Oscillator,Compare closing price to recent range,Identifies closing price extremes,Use slow stochastic (3-period SMA) to reduce noise,"if %K(14,3) > 80 and %D(14,3) crosses down: signal = 'Short'"
3,Momentum Oscillators,Commodity Channel Index (CCI),Measure deviation from statistical mean,Extremes (>+200/<-200) flag unsustainable moves,Pair with Bollinger Bands for confirmation,if CCI(20) > 200: signal = 'Short' elif CCI(20) < -200: signal = 'Buy'
4,Momentum Oscillators,Williams %R,Identify closing prices near range extremes,Readings <-80/-20 indicate reversions,Combine with Fibonacci retracements,if WilliamsR(14) < -80: signal = 'Buy' elif WilliamsR(14) > -20: signal = 'Short'
5,Momentum Oscillators,Money Flow Index (MFI),Volume-weighted RSI variant,Confirms exhaustion with volume divergence,Fade MFI extremes with volume confirmation,"if MFI(14) > 80 and volume < SMA(volume,5): signal = 'Short'"
6,Momentum Oscillators,True Strength Index (TSI),Double-smoothed momentum oscillator,Reduces noise for clearer divergence signals,Trade crosses above/below +/-25 levels,"if TSI(25,13) crosses above 25: signal = 'Buy'"
7,Momentum Oscillators,Rate of Change (ROC),Measure % price change over period,Spikes >15% in 5 days often revert,Pair with Z-score normalization,"if ROC(10) > 2*std(ROC(10),20): signal = 'Short'"
8,Momentum Oscillators,Detrended Price Oscillator (DPO),Remove trend to isolate cycles,Identifies overextension vs displaced MA,Fade DPO extremes in sideways markets,if DPO(20) > 1.5: signal = 'Short' elif DPO(20) < -1.5: signal = 'Buy'
9,Momentum Oscillators,Ultimate Oscillator,Blend short/mid/long-term momentum,Multi-timeframe weighting reduces whipsaws,Fade readings >70/<30 with divergence,"if UltimateOsc(7,14,28) > 70 and price_high > prior_high: signal = 'Short'"
10,Momentum Oscillators,Chande Momentum Oscillator (CMO),Pure momentum strength gauge,Extremes (>+50/<-50) signal reversions,Filter trades with ADX <25,if CMO(20) > 50: signal = 'Short' elif CMO(20) < -50: signal = 'Buy'
11,Momentum Oscillators,TRIX (Triple EMA),Rate of change of triple-smoothed EMA,Zero-line crosses indicate momentum shifts,Fade TRIX peaks above 0.5%,if TRIX(15) > 0.5: signal = 'Short' elif TRIX(15) < -0.5: signal = 'Buy'
12,Momentum Oscillators,Momentum Divergence Indicator (MDI),Flag divergences between price/momentum,Hidden divergences precede reversions,Confirm with RSI/MACD,if price_high > prior_high and momentum_high < prior_high: signal = 'Short'
13,Momentum Oscillators,Elder-Ray Index,Measure buying/selling pressure via Bull/Bear Power,Extreme Bear Power = oversold bounce,Trade at 2x ATR thresholds,if BearPower < -2*ATR(14): signal = 'Buy'
14,Momentum Oscillators,Vortex Indicator (VI),Track directional movement via +/- volatility,VI+ crossing VI- signals exhaustion,Fade crossovers in range-bound markets,if VI_plus(14) crosses below VI_minus(14): signal = 'Short'
15,Momentum Oscillators,Know Sure Thing (KST),Smoothed ROC for cyclical reversions,Peaks/troughs mark cycle extremes,Trade crosses above/below +/-20,"if KST(10,15,20,30) crosses above 20: signal = 'Buy'"
18,Volatility-Based,Bollinger Bands,Identify overextended prices relative to volatility,Prices outside ±2σ bands are statistically rare,Fade touches of outer bands in range-bound markets,"if price > upper_band(20,2): signal = 'Short' elif price < lower_band(20,2): signal = 'Buy'"
19,Volatility-Based,ATR Bands,Dynamic support/resistance using volatility ranges,Prices exceeding ATR-based thresholds signal exhaustion,Pair with SMA for entry triggers,if price > SMA(20) + 1.5*ATR(14): signal = 'Short'
20,Volatility-Based,Keltner Channels,Volatility envelope using ATR for width,Reversion opportunities when channels breached,Trade channel breaches with ADX <25 filter,"if price > upper_channel(20,1.5*ATR) and ADX <25: signal = 'Short'"
21,Volatility-Based,Z-Score,Measure deviations from mean in standard deviations,|Z| >2 indicates significant mean reversion,"Enter at extremes, exit at mean","if Z(price,20) > 2: signal = 'Short' elif Z(price,20) < -2: signal = 'Buy'"
22,Volatility-Based,Historical Volatility Ratio,Compare current vs historical volatility,Spikes >2x 30-day average signal panic/reversion,Fade extremes during HV spikes,if HV(10) > 2*HV(30): signal = 'Short'
23,Volatility-Based,Donchian Channels (Inverted),Track price extremes over period,Breakouts often fail in sideways markets,Short upper channel breaks with RSI confirmation,if price > upper_channel(10) and RSI >70: signal = 'Short'
24,Volatility-Based,Chandelier Exit,Volatility-based trailing stop,Identifies trend exhaustion for reversion,Short when price drops from 22-day high,if close < max_high(22) - 3*ATR(22): signal = 'Short'
25,Volatility-Based,Variance Ratio Test,Test for mean reversion (stationarity),Ratio <1 indicates negative serial correlation,Filter pairs trading candidates,if variance_ratio(spread) < 0.9: signal = 'Trade'
