subcategory,Indicator Name,Definition,Why It Works,Key Insight,Pseudocode
Foundational Indicators,Simple Moving Average (SMA),"Arithmetic average of closing prices over a specified period. Smooths price noise to identify trend direction.","Reduces market noise; aligns with institutional rebalancing cycles.","Crossovers of shorter (e.g., 50-day) and longer (e.g., 200-day) SMAs signal trend shifts.","sma = SUM(closing_prices, period) / period"
Foundational Indicators,Exponential Moving Average (EMA),"Weighted average prioritizing recent prices. Faster response to trend changes vs. SMA.","Reduces lag in volatile markets; ideal for swing/position trading.","EMA crossovers (e.g., 12/26-day) confirm momentum shifts.","ema = (price * smoothing_factor) + (prior_ema * (1 - smoothing_factor))"
Foundational Indicators,Ichimoku Cloud,"Multi-component system (Tenkan-Sen, Kijun-Sen, Senkou Span A/B) defining trend direction, support/resistance, and momentum.","Combines trend structure and momentum in one visual framework.","Price above cloud = uptrend; cloud color flip signals regime change.","tenkan = (HIGH(9) + LOW(9)) / 2; kijun = (HIGH(26) + LOW(26)) / 2; senkou_a = (tenkan + kijun) / 2; senkou_b = (HIGH(52) + LOW(52)) / 2"
Foundational Indicators,Donchian Channels,"Tracks the highest high and lowest low over a period (e.g., 20 days).","Identifies breakout thresholds; institutional favorite for trend confirmation.","Close above 20-day high = bullish breakout; below 20-day low = bearish.","upper = MAX(high, 20); lower = MIN(low, 20)"
Foundational Indicators,Parabolic SAR,"Trailing stop-and-reverse dots that adjust to volatility.","Locks in profits during trends; forces disciplined exits.","SAR flips below price in uptrends (vice versa) on reversals.","sar = prior_sar + AF * (extreme_point - prior_sar) [AF = acceleration factor]"
Foundational Indicators,Average Directional Index (ADX),"Measures trend strength (0-100 scale). Non-directional.","ADX >25 = tradable trend; <20 = avoid choppy markets.","Rising ADX + rising +DI confirms trend acceleration.","+DM = HIGH - PRIOR_HIGH; -DM = PRIOR_LOW - LOW; ADX = 14-day SMA of |(+DI - -DI)| / (+DI + -DI)|"
Foundational Indicators,Bollinger Bands,"Volatility bands around SMA (typically ±2σ).","Identifies overextended prices; bands expand in trends.","Price riding upper band = strong uptrend; contraction precedes breakouts.","mid = SMA(20); upper = mid + 2*STDDEV(20); lower = mid - 2*STDDEV(20)"
Foundational Indicators,Keltner Channels,"EMA-based volatility bands (typically ±2x ATR).","Adapts to volatility; breakout above/below confirms trend.","Combine with EMA slope for high-probability entries.","mid = EMA(20); upper = mid + 2*ATR(20); lower = mid - 2*ATR(20)"
Foundational Indicators,Volume-Weighted Average Price (VWAP),"Average price weighted by volume over a session.","Institutional benchmark; price above VWAP = bullish bias.","Trend days see price sustain above/below VWAP with rising volume.","vwap = SUM(price * volume, session) / SUM(volume, session)"
Foundational Indicators,On-Balance Volume (OBV),"Cumulative volume adding/subtracting on up/down closes.","Confirms trends with volume participation.","OBV divergence (price up, OBV down) warns of weak trends.","IF close > prior_close: obv += volume; ELSE IF close < prior_close: obv -= volume"
